                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.2033,                0.87908,                 1.0527,                0.80673,                0.65807,                0.76031,                0.47986,                  1.058,                0.66719,                0.97109,              0.0033311,              0.0033311,              0.0033311
                      2,                 1.1314,                0.72937,                 1.0158,                0.84647,                0.63579,                0.75119,                0.47718,                 1.0663,                0.68402,                0.96978,              0.0066424,              0.0066424,              0.0066424
                      3,                 1.1569,                0.76605,                 1.0238,                0.84338,                0.64425,                0.75266,                0.47176,                 1.0804,                0.68785,                 0.9975,              0.0099318,              0.0099318,              0.0099318
                      4,                 1.1739,                0.76352,                 1.0344,                0.83855,                0.66263,                0.75733,                0.47188,                 1.0749,                0.67911,                      1,               0.009901,               0.009901,               0.009901
                      5,                 1.1456,                0.74006,                 1.0281,                0.82241,                0.65629,                0.75716,                0.48039,                 1.0511,                0.66637,                0.98587,               0.009901,               0.009901,               0.009901
                      6,                 1.1068,                0.70933,                 1.0118,                0.81401,                0.66862,                0.75734,                0.48015,                 1.0313,                0.64071,                0.97981,               0.009868,               0.009868,               0.009868
                      7,                 1.0859,                0.69513,                 1.0049,                0.83656,                0.67802,                0.77115,                0.49229,                  1.014,                0.62865,                0.97595,               0.009835,               0.009835,               0.009835
                      8,                 1.0727,                0.67869,                 1.0015,                0.84272,                0.67567,                0.77581,                0.50821,                 0.9885,                0.60996,                0.97782,               0.009802,               0.009802,               0.009802
                      9,                 1.0437,                0.66085,                0.99045,                0.83074,                0.69017,                0.78408,                0.51502,                0.96454,                0.60176,                0.97064,               0.009769,               0.009769,               0.009769
                     10,                 1.0278,                0.64459,                0.98348,                0.83368,                0.68485,                0.78279,                 0.5189,                0.95204,                0.59266,                0.96056,               0.009736,               0.009736,               0.009736
